"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_single_adult","fare_single_child","fare_single_elderly"
"1","1",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1","10",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","15",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","20",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","30",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","240",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","250",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","260",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","265",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","920",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","40",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","50",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","60",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","70",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","75",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","80",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","170",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","180",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","190",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","200",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","212",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","220",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","230",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","270",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"1","275",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","280",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","295",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","300",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","310",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","320",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","330",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"1","90",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"1","100",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"1","110",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"1","120",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"1","130",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"1","140",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"1","150",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"1","160",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"1","340",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"1","350",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"1","360",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"1","370",5.90,3.00,2.00,2.00,3.00,6.00,3.00,3.00
"1","380",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","390",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","400",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","425",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","430",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","435",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","445",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","448",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","450",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","455",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","460",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","490",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","500",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","468",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","480",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","510",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","520",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","530",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","540",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","550",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","560",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","570",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"1","580",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","590",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"1","600",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","1",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"10","10",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"10","15",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"10","20",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"10","30",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"10","240",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"10","250",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"10","260",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"10","265",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"10","920",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","40",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"10","50",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"10","60",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","70",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","75",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","80",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","170",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","180",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","190",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","200",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","212",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","220",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","230",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","270",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","275",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","280",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","295",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","300",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","310",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","320",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","330",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"10","90",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"10","100",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"10","110",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"10","120",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"10","130",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"10","140",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"10","150",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"10","160",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"10","340",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"10","350",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"10","360",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"10","370",5.90,3.00,2.00,2.00,3.00,6.00,3.00,3.00
"10","380",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","390",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","400",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","425",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","430",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","435",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","445",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","448",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","450",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","455",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","460",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","490",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","500",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","468",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","480",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","510",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","520",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","530",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","540",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","550",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","560",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","570",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"10","580",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","590",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"10","600",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"15","1",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","10",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15","20",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","30",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","240",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","250",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","260",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","265",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","920",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","40",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","50",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","60",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","70",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","75",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","80",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","170",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","180",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","190",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","200",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"15","212",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","220",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","230",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","270",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","275",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","280",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","295",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","300",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","310",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","320",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","330",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"15","90",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"15","100",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"15","110",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"15","120",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"15","130",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
